Dataset,relation,relation_uri,relation_id,count,share,cumulative
YAGO,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,23,52604,0.29791475528673533,0.29791475528673533
YAGO,sameAs,http://www.w3.org/2002/07/owl#sameAs,13,49557,0.280658534099018,0.5785732893857534
YAGO,location,http://schema.org/location,5,22517,0.1275216056724093,0.7060948950581627
YAGO,gender,http://schema.org/gender,19,8697,0.04925413707567366,0.7553490321338363
YAGO,author,http://schema.org/author,11,4020,0.022766658737979544,0.7781156908718159
YAGO,parentTaxon,http://schema.org/parentTaxon,28,3660,0.020727853477861973,0.7988435443496779
YAGO,inLanguage,http://schema.org/inLanguage,37,3436,0.01945926353823326,0.8183028078879111
YAGO,nationality,http://schema.org/nationality,20,3258,0.01845118760406402,0.8367539954919752
YAGO,birthPlace,http://schema.org/birthPlace,22,3201,0.018128376771212068,0.8548823722631872
YAGO,about,http://schema.org/about,46,2950,0.016706876437074542,0.8715892487002618
YAGO,knowsLanguage,http://schema.org/knowsLanguage,21,2541,0.014390567127663189,0.885979815827925
YAGO,alumniOf,http://schema.org/alumniOf,10,2457,0.013914845900302423,0.8998946617282274
YAGO,memberOf,http://schema.org/memberOf,0,2453,0.01389219250852334,0.9137868542367508
YAGO,children,http://schema.org/children,3,1628,0.009219930454087238,0.923006784690838
YAGO,worksFor,http://schema.org/worksFor,1,1573,0.008908446317124832,0.9319152310079628
YAGO,material,http://schema.org/material,55,1390,0.007872053643231732,0.9397872846511945
YAGO,actor,http://schema.org/actor,16,1332,0.007543579462435013,0.9473308641136295
YAGO,award,http://schema.org/award,8,1293,0.007322708892588943,0.9546535730062184
YAGO,deathPlace,http://schema.org/deathPlace,29,1280,0.00724908536930692,0.9619026583755254
YAGO,neighbors,http://yago-knowledge.org/resource/neighbors,7,836,0.004734558881828582,0.966637217257354
YAGO,spouse,http://schema.org/spouse,4,731,0.004139907347627624,0.9707771246049816
YAGO,participant,http://yago-knowledge.org/resource/participant,49,634,0.0035905625969848334,0.9743676872019664
YAGO,locationCreated,http://schema.org/locationCreated,43,494,0.002797693884716889,0.9771653810866833
YAGO,ownedBy,http://yago-knowledge.org/resource/ownedBy,38,406,0.0022993192655770384,0.9794647003522603
YAGO,director,http://schema.org/director,15,317,0.0017952812984924167,0.9812599816507527
YAGO,homeLocation,http://schema.org/homeLocation,12,307,0.0017386478190447065,0.9829986294697974
YAGO,superEvent,http://schema.org/superEvent,33,275,0.0015574206848120336,0.9845560501546095
YAGO,follows,http://yago-knowledge.org/resource/follows,40,270,0.0015291039450881783,0.9860851540996977
YAGO,beliefSystem,http://yago-knowledge.org/resource/beliefSystem,48,232,0.0013138967231868792,0.9873990508228845
YAGO,academicDegree,http://yago-knowledge.org/resource/academicDegree,41,220,0.0012459365478496268,0.9886449873707341
YAGO,manufacturer,http://schema.org/manufacturer,44,189,0.001070372761561725,0.9897153601322959
YAGO,musicBy,http://schema.org/musicBy,26,183,0.0010363926738930986,0.990751752806189
YAGO,subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,66,166,0.0009401157588319911,0.991691868565021
YAGO,playsIn,http://yago-knowledge.org/resource/playsIn,34,153,0.0008664922355499677,0.992558360800571
YAGO,candidateIn,http://yago-knowledge.org/resource/candidateIn,27,150,0.0008495021917156547,0.9934078629922867
YAGO,appearsIn,http://yago-knowledge.org/resource/appearsIn,30,136,0.0007702153204888602,0.9941780783127755
YAGO,flowsInto,http://yago-knowledge.org/resource/flowsInto,39,115,0.0006512850136486685,0.9948293633264241
YAGO,productionCompany,http://schema.org/productionCompany,25,89,0.0005040379670846217,0.9953334012935088
YAGO,contentLocation,http://schema.org/contentLocation,45,87,0.0004927112711950797,0.9958261125647039
YAGO,organizer,http://schema.org/organizer,35,84,0.0004757212273607666,0.9963018337920646
YAGO,notableWork,http://yago-knowledge.org/resource/notableWork,2,69,0.00039077100818920115,0.9966926048002538
YAGO,founder,http://schema.org/founder,36,60,0.00033980087668626185,0.9970324056769401
YAGO,sponsor,http://schema.org/sponsor,50,59,0.00033413752874149083,0.9973665432056815
YAGO,affiliation,http://schema.org/affiliation,31,58,0.0003284741807967198,0.9976950173864783
YAGO,replaces,http://yago-knowledge.org/resource/replaces,6,57,0.00032281083285194874,0.9980178282193302
YAGO,publisher,http://schema.org/publisher,42,53,0.00030015744107286465,0.998317985660403
YAGO,capital,http://yago-knowledge.org/resource/capital,24,45,0.0002548506575146964,0.9985728363179177
YAGO,lyricist,http://schema.org/lyricist,51,41,0.00023219726573561227,0.9988050335836534
YAGO,leader,http://yago-knowledge.org/resource/leader,9,37,0.00020954387395652813,0.9990145774576099
YAGO,terminus,http://yago-knowledge.org/resource/terminus,52,34,0.00019255383012221504,0.9992071312877321
YAGO,doctoralAdvisor,http://yago-knowledge.org/resource/doctoralAdvisor,17,32,0.000181227134232673,0.9993883584219647
YAGO,performer,http://schema.org/performer,53,28,0.00015857374245358886,0.9995469321644183
YAGO,owns,http://schema.org/owns,32,15,8.495021917156546e-05,0.9996318823835898
YAGO,conferredBy,http://yago-knowledge.org/resource/conferredBy,58,14,7.928687122679443e-05,0.9997111692548166
YAGO,influencedBy,http://yago-knowledge.org/resource/influencedBy,47,13,7.36235232820234e-05,0.9997847927780986
YAGO,highestPoint,http://yago-knowledge.org/resource/highestPoint,14,9,5.097013150293928e-05,0.9998357629096015
YAGO,editor,http://schema.org/editor,60,9,5.097013150293928e-05,0.9998867330411044
YAGO,parentBody,http://yago-knowledge.org/resource/parentBody,54,8,4.530678355816825e-05,0.9999320398246626
YAGO,illustrator,http://schema.org/illustrator,61,7,3.9643435613397215e-05,0.999971683260276
YAGO,studentOf,http://yago-knowledge.org/resource/studentOf,18,4,2.2653391779084125e-05,0.9999943366520551
YAGO,lowestPoint,http://yago-knowledge.org/resource/lowestPoint,62,1,5.663347944771031e-06,0.9999999999999998
SemOpenAlex,cites,http://purl.org/spar/cito/cites,24,2613828,0.2717569023413595,0.2717569023413595
SemOpenAlex,hasConcept,https://semopenalex.org/ontology/hasConcept,21,1550781,0.1612330424074713,0.4329899447488308
SemOpenAlex,hasRelatedWork,https://semopenalex.org/ontology/hasRelatedWork,22,1055896,0.10978037811004862,0.5427703228588794
SemOpenAlex,hasAuthorship,https://semopenalex.org/ontology/hasAuthorship,19,701375,0.07292120880932909,0.6156915316682084
SemOpenAlex,creator,http://purl.org/dc/terms/creator,18,699585,0.07273510442327498,0.6884266360914835
SemOpenAlex,hasTopic,https://semopenalex.org/ontology/hasTopic,30,530332,0.05513805098594777,0.7435646870774313
SemOpenAlex,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1,367809,0.03824070845261169,0.781805395530043
SemOpenAlex,hasLocation,https://semopenalex.org/ontology/hasLocation,15,343026,0.035664046441673744,0.8174694419717168
SemOpenAlex,hasMesh,https://semopenalex.org/ontology/hasMesh,25,321891,0.03346666309013545,0.8509361050618522
SemOpenAlex,hasOpenAccess,https://semopenalex.org/ontology/hasOpenAccess,16,264066,0.027454659669141752,0.878390764730994
SemOpenAlex,hasPrimaryLocation,https://semopenalex.org/ontology/hasPrimaryLocation,17,261605,0.027198792130550042,0.905589556861544
SemOpenAlex,hasPrimaryTopic,https://semopenalex.org/ontology/hasPrimaryTopic,29,219536,0.02282492318255551,0.9284144800440994
SemOpenAlex,sameAs,http://www.w3.org/2002/07/owl#sameAs,3,193685,0.02013722235356964,0.9485517023976691
SemOpenAlex,hasKeyword,https://semopenalex.org/ontology/hasKeyword,14,172583,0.01794326997674631,0.9664949723744154
SemOpenAlex,hasSustainableDevelopmentGoal,https://semopenalex.org/ontology/hasSustainableDevelopmentGoal,23,127368,0.013242314772591877,0.9797372871470073
SemOpenAlex,hasBestOaLocation,https://semopenalex.org/ontology/hasBestOaLocation,20,62197,0.006466555586261046,0.9862038427332683
SemOpenAlex,hasAPCList,https://semopenalex.org/ontology/hasAPCList,26,52201,0.00542728215441923,0.9916311248876876
SemOpenAlex,memberOf,http://www.w3.org/ns/org#memberOf,0,51873,0.005393180345131103,0.9970243052328187
SemOpenAlex,hasFunder,https://semopenalex.org/ontology/hasFunder,28,16354,0.0017003078935915422,0.9987246131264103
SemOpenAlex,hasAPCPaid,https://semopenalex.org/ontology/hasAPCPaid,27,10042,0.001044056002656614,0.9997686691290669
SemOpenAlex,related,http://www.w3.org/2004/02/skos/core#related,6,1305,0.00013567945463721184,0.9999043485837041
SemOpenAlex,broader,http://www.w3.org/2004/02/skos/core#broader,4,435,4.5226484879070614e-05,0.9999495750685832
SemOpenAlex,location,https://dbpedia.org/ontology/location,7,113,1.1748489175482712e-05,0.9999613235577587
SemOpenAlex,seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,2,108,1.122864452170029e-05,0.9999725522022804
SemOpenAlex,hasHostOrganization,https://semopenalex.org/ontology/hasHostOrganization,12,90,9.357203768083577e-06,0.9999819094060485
SemOpenAlex,inScheme,http://www.w3.org/2004/02/skos/core#inScheme,5,88,9.149265906570608e-06,0.999991058671955
SemOpenAlex,hasAPC,https://semopenalex.org/ontology/hasAPC,13,36,3.7428815072334306e-06,0.9999948015534623
SemOpenAlex,hasChildInstitution,https://semopenalex.org/ontology/hasChildInstitution,9,26,2.7031921996685885e-06,0.999997504745662
SemOpenAlex,hasParentInstitution,https://semopenalex.org/ontology/hasParentInstitution,10,16,1.6635028921037469e-06,0.9999991682485541
SemOpenAlex,hasAssociatedInstitution,https://semopenalex.org/ontology/hasAssociatedInstitution,8,8,8.317514460518734e-07,1.0000000000000002
