YAGO profile,SemOpenAlex type,Rejected
creative_work_like,author,26339
place_like,author,19435
person_like,work,13871
organization_like,author,12360
place_like,work,8954
organization_like,work,8421
event_like,work,3358
organism_like,work,2365
product_like,work,2328
other_typed,work,2136
other_typed,author,600
event_like,author,490
other_typed,concept,279
product_like,author,240
intangible_like,work,225
creative_work_like,institution,215
event_like,concept,183
intangible_like,author,147
product_like,concept,113
event_like,source,104
organization_like,concept,102
place_like,concept,101
organism_like,author,81
event_like,institution,49
other_typed,keyword,43
place_like,source,42
person_like,source,38
other_typed,source,26
creative_work_like,publisher,25
creative_work_like,funder,18
place_like,funder,17
event_like,keyword,17
organization_like,keyword,14
person_like,concept,12
other_typed,institution,9
product_like,keyword,8
event_like,publisher,7
person_like,publisher,5
event_like,funder,4
product_like,source,4
place_like,publisher,3
person_like,institution,3
product_like,institution,3
place_like,keyword,2
other_typed,funder,2
person_like,keyword,1
intangible_like,funder,1
intangible_like,institution,1
other_typed,publisher,1
