Source group,ABC score bin,Count
Strict proxy,0.95,946496
Strict proxy,0.96,1842
Strict proxy,0.97,2583
Strict proxy,0.98,945
Ranked ambiguous,0.3,673
Ranked ambiguous,0.31,685
Ranked ambiguous,0.32,719
Ranked ambiguous,0.33,752
Ranked ambiguous,0.34,792
Ranked ambiguous,0.35,902
Ranked ambiguous,0.36,973
Ranked ambiguous,0.37,1007
Ranked ambiguous,0.38,1159
Ranked ambiguous,0.39,1271
Ranked ambiguous,0.4,1457
Ranked ambiguous,0.41,1716
Ranked ambiguous,0.42,2207
Ranked ambiguous,0.43,2958
Ranked ambiguous,0.44,3943
Ranked ambiguous,0.45,5585
Ranked ambiguous,0.46,8849
Ranked ambiguous,0.47,19630
Ranked ambiguous,0.48,24696
Ranked ambiguous,0.49,29496
Ranked ambiguous,0.5,35439
Ranked ambiguous,0.51,41267
Ranked ambiguous,0.52,47376
Ranked ambiguous,0.53,53385
Ranked ambiguous,0.54,59753
Ranked ambiguous,0.55,64676
Ranked ambiguous,0.56,69261
Ranked ambiguous,0.57,72591
Ranked ambiguous,0.58,73548
Ranked ambiguous,0.59,72404
Ranked ambiguous,0.6,67774
Ranked ambiguous,0.61,61141
Ranked ambiguous,0.62,52396
Ranked ambiguous,0.63,42706
Ranked ambiguous,0.64,33685
Ranked ambiguous,0.65,24489
Ranked ambiguous,0.66,16546
Ranked ambiguous,0.67,10588
Ranked ambiguous,0.68,6212
Ranked ambiguous,0.69,3403
Ranked ambiguous,0.7,1722
Ranked ambiguous,0.71,829
Ranked ambiguous,0.72,382
Ranked ambiguous,0.73,150
Ranked ambiguous,0.74,72
Ranked ambiguous,0.75,37
Ranked ambiguous,0.76,13
Ranked ambiguous,0.77,8
Ranked ambiguous,0.78,3
Ranked ambiguous,0.8,2
