Dataset,Outcome,Statements,Processed statements,Share
YAGO,Structural kept,176573872,1784222285,0.09896405480665768
YAGO,Literal/non-structural,1607647674,1784222285,0.9010355310072814
YAGO,Filtered subject,739,1784222285,4.141860609032803e-07
YAGO,Helper relation removed,0,1784222285,0.0
YAGO,Malformed,0,1784222285,0.0
SemOpenAlex,Structural kept,9617571538,24420487935,0.39383207917872426
SemOpenAlex,Literal/non-structural,6015353175,24420487935,0.24632403705491318
SemOpenAlex,Filtered subject,8458693712,24420487935,0.3463769329472245
SemOpenAlex,Helper relation removed,328869510,24420487935,0.013466950819138086
SemOpenAlex,Malformed,0,24420487935,0.0
