Entity type,Ranked ambiguous alignments,Mean ABC score,P10,Median,P90,Minimum,Maximum
author,890479,0.5800809264183044,0.5156893730163574,0.5823526382446289,0.6422684788703918,0.30000582337379456,0.8046283721923828
concept,1149,0.5046626925468445,0.44290751218795776,0.5127885937690735,0.5617634654045105,0.3018670976161957,0.6276364922523499
field,1,0.5356824398040771,0.5356824398040771,0.5356824398040771,0.5356824398040771,0.5356824398040771,0.5356824398040771
funder,184,0.4752902686595917,0.34324008226394653,0.4861801266670227,0.5676940083503723,0.3067602813243866,0.6422274708747864
institution,831,0.5026953220367432,0.4639735817909241,0.4956008493900299,0.5650354027748108,0.3000384569168091,0.64144366979599
keyword,327,0.5329143404960632,0.48044440150260925,0.5329366326332092,0.5942594408988953,0.304110050201416,0.6571779251098633
publisher,259,0.5145778656005859,0.4651413559913635,0.5118140578269958,0.5800893306732178,0.301299124956131,0.6829485893249512
source,6164,0.5733898878097534,0.5081289410591125,0.5734012126922607,0.6470644474029541,0.3001255393028259,0.7846627235412598
subfield,2,0.5945816040039062,0.5832233428955078,0.5945816040039062,0.6059398055076599,0.5803837776184082,0.6087793707847595
work,121932,0.49916788935661316,0.44769078493118286,0.5033711194992065,0.5533175468444824,0.300013929605484,0.6925653219223022
