Dataset,Rank,Predicate,Predicate URI,Held-out occurrences,Share,Cumulative share
YAGO,1,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,52604,0.29791475528673533,0.29791475528673533
YAGO,2,sameAs,http://www.w3.org/2002/07/owl#sameAs,49557,0.280658534099018,0.5785732893857534
YAGO,3,location,http://schema.org/location,22517,0.1275216056724093,0.7060948950581627
YAGO,4,gender,http://schema.org/gender,8697,0.04925413707567366,0.7553490321338363
YAGO,5,author,http://schema.org/author,4020,0.022766658737979544,0.7781156908718159
YAGO,6,parentTaxon,http://schema.org/parentTaxon,3660,0.020727853477861973,0.7988435443496779
YAGO,7,inLanguage,http://schema.org/inLanguage,3436,0.01945926353823326,0.8183028078879111
YAGO,8,nationality,http://schema.org/nationality,3258,0.01845118760406402,0.8367539954919752
YAGO,9,birthPlace,http://schema.org/birthPlace,3201,0.018128376771212068,0.8548823722631872
YAGO,10,about,http://schema.org/about,2950,0.016706876437074542,0.8715892487002618
YAGO,11,knowsLanguage,http://schema.org/knowsLanguage,2541,0.014390567127663189,0.885979815827925
YAGO,12,alumniOf,http://schema.org/alumniOf,2457,0.013914845900302423,0.8998946617282274
YAGO,13,memberOf,http://schema.org/memberOf,2453,0.01389219250852334,0.9137868542367508
YAGO,14,children,http://schema.org/children,1628,0.009219930454087238,0.923006784690838
YAGO,15,worksFor,http://schema.org/worksFor,1573,0.008908446317124832,0.9319152310079628
YAGO,16,material,http://schema.org/material,1390,0.007872053643231732,0.9397872846511945
YAGO,17,actor,http://schema.org/actor,1332,0.007543579462435013,0.9473308641136295
YAGO,18,award,http://schema.org/award,1293,0.007322708892588943,0.9546535730062184
YAGO,19,deathPlace,http://schema.org/deathPlace,1280,0.00724908536930692,0.9619026583755254
YAGO,20,neighbors,http://yago-knowledge.org/resource/neighbors,836,0.004734558881828582,0.966637217257354
YAGO,21,spouse,http://schema.org/spouse,731,0.004139907347627624,0.9707771246049816
YAGO,22,participant,http://yago-knowledge.org/resource/participant,634,0.0035905625969848334,0.9743676872019664
YAGO,23,locationCreated,http://schema.org/locationCreated,494,0.002797693884716889,0.9771653810866833
YAGO,24,ownedBy,http://yago-knowledge.org/resource/ownedBy,406,0.0022993192655770384,0.9794647003522603
YAGO,25,director,http://schema.org/director,317,0.0017952812984924167,0.9812599816507527
YAGO,26,homeLocation,http://schema.org/homeLocation,307,0.0017386478190447065,0.9829986294697974
YAGO,27,superEvent,http://schema.org/superEvent,275,0.0015574206848120336,0.9845560501546095
YAGO,28,follows,http://yago-knowledge.org/resource/follows,270,0.0015291039450881783,0.9860851540996977
YAGO,29,beliefSystem,http://yago-knowledge.org/resource/beliefSystem,232,0.0013138967231868792,0.9873990508228845
YAGO,30,academicDegree,http://yago-knowledge.org/resource/academicDegree,220,0.0012459365478496268,0.9886449873707341
