Dataset,Degree threshold,Nodes at degree,Nodes with degree at least threshold,CCDF
YAGO held-out,1,256464,263202,1.0
YAGO held-out,2,3278,6738,0.02560010942166093
YAGO held-out,3,1120,3460,0.013145796764462276
YAGO held-out,4,575,2340,0.008890509950532291
YAGO held-out,5,341,1765,0.00670587609516645
YAGO held-out,6,211,1424,0.005410293234853839
YAGO held-out,7,145,1213,0.004608627594015243
YAGO held-out,8,110,1068,0.004057719926140379
YAGO held-out,9,84,958,0.003639789971200827
YAGO held-out,10,78,874,0.003320643460156078
YAGO held-out,11,62,796,0.003024293128471668
YAGO held-out,12,35,734,0.0027887326084148297
YAGO held-out,13,37,699,0.0026557548954795175
YAGO held-out,14,49,662,0.002515178456090759
YAGO held-out,15,35,613,0.002329009657981322
YAGO held-out,16,24,578,0.0021960319450460104
YAGO held-out,17,37,554,0.0021048472276046534
YAGO held-out,18,22,517,0.001964270788215895
YAGO held-out,19,28,495,0.0018806847972279847
YAGO held-out,20,11,467,0.001774302626879735
YAGO held-out,21,22,456,0.0017325096313857797
YAGO held-out,22,15,434,0.0016489236403978693
YAGO held-out,23,17,419,0.0015919331919970214
YAGO held-out,24,18,402,0.0015273440171427268
YAGO held-out,25,13,384,0.0014589554790617092
YAGO held-out,26,16,371,0.0014095637571143076
YAGO held-out,27,13,355,0.0013487739454867364
YAGO held-out,28,5,342,0.0012993822235393348
YAGO held-out,29,8,337,0.0012803854074057187
YAGO held-out,30,7,329,0.0012499905015919332
YAGO held-out,31,8,322,0.0012233949590048708
YAGO held-out,32,8,314,0.0011930000531910853
YAGO held-out,33,7,306,0.0011626051473772995
YAGO held-out,34,7,299,0.001136009604790237
YAGO held-out,35,10,292,0.0011094140622031747
YAGO held-out,36,3,282,0.0010714204299359428
YAGO held-out,37,6,279,0.001060022340255773
YAGO held-out,38,4,273,0.001037226160895434
YAGO held-out,39,5,269,0.0010220287079885412
YAGO held-out,40,7,264,0.0010030318918549251
YAGO held-out,41,6,257,0.0009764363492678627
YAGO held-out,42,4,251,0.0009536401699075234
YAGO held-out,43,3,247,0.0009384427170006307
YAGO held-out,44,3,244,0.0009270446273204611
YAGO held-out,45,5,241,0.0009156465376402914
YAGO held-out,46,7,236,0.0008966497215066755
YAGO held-out,47,6,229,0.0008700541789196131
YAGO held-out,48,2,223,0.0008472579995592739
YAGO held-out,49,4,221,0.0008396592731058274
YAGO held-out,50,5,217,0.0008244618201989347
YAGO held-out,51,1,212,0.0008054650040653186
YAGO held-out,52,4,211,0.0008016656408385954
YAGO held-out,53,4,207,0.0007864681879317027
YAGO held-out,54,3,203,0.0007712707350248098
YAGO held-out,55,2,200,0.0007598726453446402
YAGO held-out,57,6,198,0.0007522739188911938
YAGO held-out,58,3,192,0.0007294777395308546
YAGO held-out,59,2,189,0.000718079649850685
YAGO held-out,60,6,187,0.0007104809233972387
YAGO held-out,61,4,181,0.0006876847440368994
YAGO held-out,62,3,177,0.0006724872911300066
YAGO held-out,63,3,174,0.000661089201449837
YAGO held-out,64,2,171,0.0006496911117696674
YAGO held-out,65,2,169,0.000642092385316221
YAGO held-out,66,3,167,0.0006344936588627746
YAGO held-out,67,1,164,0.000623095569182605
YAGO held-out,68,2,163,0.0006192962059558818
YAGO held-out,70,2,161,0.0006116974795024354
YAGO held-out,71,3,159,0.000604098753048989
YAGO held-out,72,1,156,0.0005927006633688193
YAGO held-out,73,1,155,0.0005889013001420961
YAGO held-out,74,2,154,0.000585101936915373
YAGO held-out,76,1,152,0.0005775032104619266
YAGO held-out,77,4,151,0.0005737038472352034
YAGO held-out,78,3,147,0.0005585063943283106
YAGO held-out,79,4,144,0.000547108304648141
YAGO held-out,81,2,140,0.0005319108517412482
YAGO held-out,84,2,138,0.0005243121252878018
YAGO held-out,86,1,136,0.0005167133988343553
YAGO held-out,87,2,135,0.0005129140356076321
YAGO held-out,89,2,133,0.0005053153091541858
YAGO held-out,90,1,131,0.0004977165827007394
YAGO held-out,92,2,130,0.0004939172194740162
YAGO held-out,93,3,128,0.00048631849302056975
YAGO held-out,94,5,125,0.00047492040334040013
YAGO held-out,95,1,120,0.0004559235872067841
YAGO held-out,96,1,119,0.00045212422398006094
YAGO held-out,98,1,118,0.00044832486075333775
YAGO held-out,100,1,117,0.00044452549752661456
YAGO held-out,101,1,116,0.0004407261342998913
YAGO held-out,102,2,115,0.0004369267710731681
YAGO held-out,104,1,113,0.00042932804461972174
YAGO held-out,106,4,112,0.00042552868139299855
YAGO held-out,107,1,108,0.00041033122848610574
YAGO held-out,108,2,107,0.00040653186525938255
YAGO held-out,109,3,105,0.0003989331388059361
YAGO held-out,110,2,102,0.00038753504912576655
YAGO held-out,111,2,100,0.0003799363226723201
YAGO held-out,116,2,98,0.00037233759621887373
YAGO held-out,121,1,96,0.0003647388697654273
YAGO held-out,122,1,95,0.0003609395065387041
YAGO held-out,127,1,94,0.0003571401433119809
YAGO held-out,130,1,93,0.00035334078008525773
YAGO held-out,131,1,92,0.0003495414168585345
YAGO held-out,132,2,91,0.0003457420536318113
YAGO held-out,133,2,89,0.0003381433271783649
YAGO held-out,141,1,87,0.0003305446007249185
YAGO held-out,142,1,86,0.0003267452374981953
YAGO held-out,143,3,85,0.0003229458742714721
YAGO held-out,144,1,82,0.0003115477845913025
YAGO held-out,145,1,81,0.0003077484213645793
YAGO held-out,147,1,80,0.0003039490581378561
YAGO held-out,148,2,79,0.0003001496949111329
YAGO held-out,150,1,77,0.0002925509684576865
YAGO held-out,160,1,76,0.0002887516052309633
YAGO held-out,162,2,75,0.0002849522420042401
YAGO held-out,165,1,73,0.00027735351555079366
YAGO held-out,167,1,72,0.0002735541523240705
YAGO held-out,170,1,71,0.0002697547890973473
YAGO held-out,174,1,70,0.0002659554258706241
YAGO held-out,177,1,69,0.0002621560626439009
YAGO held-out,180,1,68,0.00025835669941717766
YAGO held-out,182,1,67,0.00025455733619045447
YAGO held-out,195,1,66,0.0002507579729637313
YAGO held-out,209,1,65,0.0002469586097370081
