Dataset,Predicate namespace,Held-out occurrences,Share
YAGO,schema.org,70772,0.4008064607473354
YAGO,RDF,52604,0.29791475528673533
YAGO,OWL,49557,0.280658534099018
YAGO,YAGO,3475,0.019680134108079332
YAGO,RDFS,166,0.0009401157588319911
SemOpenAlex,SemOpenAlex ontology,5689429,0.591523849744933
SemOpenAlex,CiTO,2613828,0.2717569023413595
SemOpenAlex,Dublin Core,699585,0.07273510442327498
SemOpenAlex,RDF,367809,0.03824070845261169
SemOpenAlex,OWL,193685,0.02013722235356964
SemOpenAlex,W3C ORG,51873,0.005393180345131103
SemOpenAlex,SKOS,1828,0.00019005520542285308
SemOpenAlex,DBpedia,113,1.1748489175482712e-05
SemOpenAlex,RDFS,108,1.122864452170029e-05
